https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1637539200000,2021-11-22 00:00:00,BNB/USDT,584.250,585.540,554.210,559.790,1335413.88,761127947.19232,979963
1637452800000,2021-11-21 00:00:00,BNB/USDT,604.620,605.430,580.270,584.200,931950.31,550152966.09037,769254
1637366400000,2021-11-20 00:00:00,BNB/USDT,580.980,604.940,573.300,604.660,1250267.69,734588584.63819,857344
1637280000000,2021-11-19 00:00:00,BNB/USDT,532.200,585.720,524.200,580.980,1702090.28,951864949.17176,1113908
1637193600000,2021-11-18 00:00:00,BNB/USDT,578.400,588.470,516.360,532.130,2058960.15,1135516860.45534,1261679
1637107200000,2021-11-17 00:00:00,BNB/USDT,588.730,592.870,554.000,578.410,1792588.04,1027672524.45989,1159818
1637020800000,2021-11-16 00:00:00,BNB/USDT,633.450,634.500,568.000,588.760,2893976.59,1731510609.28437,1704547
1636934400000,2021-11-15 00:00:00,BNB/USDT,650.280,659.280,630.000,633.440,1028971.65,663841318.76180,765868
1636848000000,2021-11-14 00:00:00,BNB/USDT,648.490,659.980,634.000,650.200,1150491.68,745587837.97672,862309
1636761600000,2021-11-13 00:00:00,BNB/USDT,626.270,654.500,618.670,648.490,1098843.62,701866200.74455,835862
1636675200000,2021-11-12 00:00:00,BNB/USDT,628.170,634.360,602.290,626.270,1311896.73,812453681.91855,930854
1636588800000,2021-11-11 00:00:00,BNB/USDT,613.610,635.000,605.310,628.210,1174451.10,731407891.42062,895815
1636502400000,2021-11-10 00:00:00,BNB/USDT,635.210,662.800,570.000,613.610,2613868.15,1642697291.14653,1580998
1636416000000,2021-11-09 00:00:00,BNB/USDT,653.540,656.930,632.660,635.200,1104634.36,711490969.18198,848657
1636329600000,2021-11-08 00:00:00,BNB/USDT,649.560,655.870,632.320,653.560,1716134.79,1104571138.93862,1140697
1636243200000,2021-11-07 00:00:00,BNB/USDT,637.550,669.750,630.000,649.570,2480815.87,1628394563.64675,1570706
1636156800000,2021-11-06 00:00:00,BNB/USDT,606.430,638.000,595.220,637.560,2076726.48,1274224430.74043,1357001
1636070400000,2021-11-05 00:00:00,BNB/USDT,558.870,618.320,554.510,606.430,2855138.92,1707542583.16822,1689848
1635984000000,2021-11-04 00:00:00,BNB/USDT,568.480,568.820,543.970,558.860,1128249.32,626348271.28676,809651
1635897600000,2021-11-03 00:00:00,BNB/USDT,554.630,570.000,537.620,568.480,1446943.70,799768280.05351,952345
