https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1610496000000,2021-01-13 00:00:00,XRP/USDT,0.2928,0.3109,0.2849,0.3059,1208709454.2,360463691.03013,638157
1610409600000,2021-01-12 00:00:00,XRP/USDT,0.2877,0.3110,0.2780,0.2928,1738204701.1,511744496.63099,919720
1610323200000,2021-01-11 00:00:00,XRP/USDT,0.3152,0.3171,0.2501,0.2877,3451973783.4,964385951.60315,1802543
1610236800000,2021-01-10 00:00:00,XRP/USDT,0.3247,0.3688,0.2872,0.3152,3199655747.9,1058951681.85157,1552812
1610150400000,2021-01-09 00:00:00,XRP/USDT,0.3209,0.3415,0.3063,0.3247,2292514479.9,738157669.81128,1101218
1610064000000,2021-01-08 00:00:00,XRP/USDT,0.3244,0.3499,0.2842,0.3206,4005453426.1,1267251880.83178,1987982
1609977600000,2021-01-07 00:00:00,XRP/USDT,0.2491,0.3722,0.2456,0.3243,7740961623.6,2455077759.65052,3352441
1609891200000,2021-01-06 00:00:00,XRP/USDT,0.2259,0.2744,0.2215,0.2489,3038120490.3,739019817.02508,1301609
1609804800000,2021-01-05 00:00:00,XRP/USDT,0.2361,0.2433,0.2155,0.2258,2373323716.5,542735199.25218,1045883
1609718400000,2021-01-04 00:00:00,XRP/USDT,0.2263,0.2630,0.2152,0.2361,3018635685.9,711692144.96837,1335435
1609632000000,2021-01-03 00:00:00,XRP/USDT,0.2211,0.2402,0.2153,0.2265,2172269341.4,488079363.23456,1019815
1609545600000,2021-01-02 00:00:00,XRP/USDT,0.2377,0.2385,0.2100,0.2210,2580820176.4,585581007.63790,1163641
1609459200000,2021-01-01 00:00:00,XRP/USDT,0.2195,0.2516,0.2159,0.2377,3969333715.9,937271706.71058,1582698
1609372800000,2020-12-31 00:00:00,XRP/USDT,0.2112,0.2295,0.2046,0.2196,3555598796.3,771801107.53678,1481541
1609286400000,2020-12-30 00:00:00,XRP/USDT,0.2214,0.2368,0.1910,0.2113,6560269868.8,1387160204.97428,2509775
1609200000000,2020-12-29 00:00:00,XRP/USDT,0.2475,0.2528,0.1707,0.2213,12899665671.3,2755107460.97153,4732026
1609113600000,2020-12-28 00:00:00,XRP/USDT,0.2843,0.3113,0.2326,0.2473,3829241752.2,1041694876.94107,1820195
1609027200000,2020-12-27 00:00:00,XRP/USDT,0.2952,0.3124,0.2656,0.2844,3237396553.9,941611399.34288,1717103
1608940800000,2020-12-26 00:00:00,XRP/USDT,0.3178,0.3289,0.2831,0.2952,4310050186.2,1314012576.31489,2153319
1608854400000,2020-12-25 00:00:00,XRP/USDT,0.3394,0.3860,0.2759,0.3178,9733465764.2,3233691656.81241,4495994
1608768000000,2020-12-24 00:00:00,XRP/USDT,0.2588,0.3780,0.2371,0.3394,10024950862.9,2817911940.89443,3747071
1608681600000,2020-12-23 00:00:00,XRP/USDT,0.4451,0.4473,0.2111,0.2588,14985919736.8,4817820921.12964,5981555
1608595200000,2020-12-22 00:00:00,XRP/USDT,0.5153,0.5227,0.4012,0.4452,3804407690.1,1764498154.03546,2105186
1608508800000,2020-12-21 00:00:00,XRP/USDT,0.5558,0.5699,0.4985,0.5152,1767470421.7,941981303.00055,1128987
1608422400000,2020-12-20 00:00:00,XRP/USDT,0.5772,0.5875,0.5311,0.5559,1216928819.6,693768021.37685,875679
1608336000000,2020-12-19 00:00:00,XRP/USDT,0.5841,0.6054,0.5656,0.5770,1332148122.9,778031581.20570,977854
1608249600000,2020-12-18 00:00:00,XRP/USDT,0.5776,0.6142,0.5513,0.5843,2429505406.2,1411385496.42179,1624545
1608163200000,2020-12-17 00:00:00,XRP/USDT,0.5687,0.6584,0.5406,0.5777,5222853923.9,3075617236.82293,2902682
1608076800000,2020-12-16 00:00:00,XRP/USDT,0.4684,0.5749,0.4370,0.5686,3423263210.1,1693913722.13996,1815248
1607990400000,2020-12-15 00:00:00,XRP/USDT,0.4980,0.5079,0.4642,0.4685,1373289067.5,663169192.11766,896627
1607904000000,2020-12-14 00:00:00,XRP/USDT,0.5138,0.5193,0.4888,0.4980,1015882610.1,508899058.29858,700981
1607817600000,2020-12-13 00:00:00,XRP/USDT,0.5065,0.5278,0.4856,0.5138,1434796898.0,732717337.67851,914863
1607731200000,2020-12-12 00:00:00,XRP/USDT,0.5127,0.5478,0.4857,0.5065,2516812468.2,1295787485.69954,1547394
1607644800000,2020-12-11 00:00:00,XRP/USDT,0.5709,0.5730,0.5074,0.5127,2255749210.7,1230188452.10599,1326651
1607558400000,2020-12-10 00:00:00,XRP/USDT,0.5824,0.5885,0.5512,0.5708,1342615175.1,767193921.96217,918111
