https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1636502400000,2021-11-10 00:00:00,LINK/USDT,33.856,38.376,31.500,34.234,37688003.13,1338707006.92090,1710899
1636416000000,2021-11-09 00:00:00,LINK/USDT,34.520,35.660,33.346,33.855,16316490.68,562996091.33892,853476
1636329600000,2021-11-08 00:00:00,LINK/USDT,32.369,34.863,32.213,34.509,16978807.97,574255132.31173,882027
1636243200000,2021-11-07 00:00:00,LINK/USDT,32.048,32.630,31.707,32.370,7601975.33,244893599.15387,474435
1636156800000,2021-11-06 00:00:00,LINK/USDT,32.891,33.249,30.729,32.044,11251614.11,357968845.23936,651533
1636070400000,2021-11-05 00:00:00,LINK/USDT,31.003,33.750,30.672,32.890,18738266.09,610647467.55358,981938
1635984000000,2021-11-04 00:00:00,LINK/USDT,31.983,32.148,30.216,31.004,9897984.78,306999763.35195,600613
1635897600000,2021-11-03 00:00:00,LINK/USDT,32.298,32.834,30.572,31.983,13118971.57,416323541.16804,716980
1635811200000,2021-11-02 00:00:00,LINK/USDT,31.707,32.535,31.035,32.298,11726916.41,374155702.92120,669611
1635724800000,2021-11-01 00:00:00,LINK/USDT,30.024,31.912,29.188,31.706,15589553.15,478743811.09324,788165
1635638400000,2021-10-31 00:00:00,LINK/USDT,29.815,30.722,28.650,30.019,11733976.21,348131586.51216,595034
1635552000000,2021-10-30 00:00:00,LINK/USDT,30.995,31.144,29.161,29.823,10792725.49,325309632.87113,570506
1635465600000,2021-10-29 00:00:00,LINK/USDT,30.200,31.985,29.958,30.995,16020286.22,499669420.02624,790022
1635379200000,2021-10-28 00:00:00,LINK/USDT,28.887,30.876,28.614,30.200,21010372.02,630995147.35219,915031
1635292800000,2021-10-27 00:00:00,LINK/USDT,32.556,33.958,27.348,28.887,36158863.37,1101760086.19031,1483878
1635206400000,2021-10-26 00:00:00,LINK/USDT,32.407,33.861,31.330,32.552,21568125.66,698798927.15900,930328
1635120000000,2021-10-25 00:00:00,LINK/USDT,29.715,32.961,29.551,32.402,24155990.98,766115308.74920,1066306
1635033600000,2021-10-24 00:00:00,LINK/USDT,31.390,31.548,28.743,29.716,18755835.52,562670372.69701,848533
1634947200000,2021-10-23 00:00:00,LINK/USDT,28.691,31.498,28.324,31.390,27118581.77,822053200.90239,1091288
1634860800000,2021-10-22 00:00:00,LINK/USDT,28.312,30.064,28.038,28.690,25601336.84,745147799.89314,1027298
1634774400000,2021-10-21 00:00:00,LINK/USDT,27.511,29.372,27.200,28.314,32859227.29,931416514.60509,1238345
1634688000000,2021-10-20 00:00:00,LINK/USDT,25.934,27.685,25.871,27.514,14827205.95,396083395.66228,616901
1634601600000,2021-10-19 00:00:00,LINK/USDT,25.731,26.316,25.371,25.936,11498215.66,297126912.55806,533114
