https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1656806400000,2022-07-03 00:00:00,ETH/USDT,1066.53,1088.00,1040.01,1073.90,3749708.763,3986193835.78978,2591145
1656720000000,2022-07-02 00:00:00,ETH/USDT,1059.16,1078.98,1026.16,1066.53,3974288.532,4182655936.29859,2814030
1656633600000,2022-07-01 00:00:00,ETH/USDT,1070.90,1118.21,1032.65,1059.24,7465681.271,7965023016.58434,5131299
1656547200000,2022-06-30 00:00:00,ETH/USDT,1099.33,1106.60,995.00,1070.85,8433372.481,8776684715.97994,5239898
1656460800000,2022-06-29 00:00:00,ETH/USDT,1143.51,1156.76,1085.60,1099.32,6255310.525,6996782558.42135,4444997
1656374400000,2022-06-28 00:00:00,ETH/USDT,1191.89,1239.66,1135.65,1143.50,5830850.719,6943637262.86077,4636465
1656288000000,2022-06-27 00:00:00,ETH/USDT,1197.20,1238.89,1172.14,1191.90,4630510.301,5578212007.99774,3958705
1656201600000,2022-06-26 00:00:00,ETH/USDT,1241.60,1280.00,1193.54,1197.21,4564404.562,5642425991.65198,3918525
1656115200000,2022-06-25 00:00:00,ETH/USDT,1224.42,1258.00,1179.03,1241.60,4537650.045,5514062293.63994,4033237
1656028800000,2022-06-24 00:00:00,ETH/USDT,1143.71,1244.94,1131.36,1224.42,6052742.304,7195488084.82197,5052858
1655942400000,2022-06-23 00:00:00,ETH/USDT,1049.41,1156.01,1044.16,1143.71,5945329.708,6567067983.10538,4874275
1655856000000,2022-06-22 00:00:00,ETH/USDT,1125.47,1126.81,1042.00,1049.40,6439701.679,6985067146.03695,5352603
1655769600000,2022-06-21 00:00:00,ETH/USDT,1127.82,1194.00,1108.63,1125.47,6719191.952,7717129837.30618,5305574
1655683200000,2022-06-20 00:00:00,ETH/USDT,1127.88,1174.00,1052.05,1127.83,8647003.105,9597579628.31477,6312403
1655596800000,2022-06-19 00:00:00,ETH/USDT,994.09,1162.98,935.50,1127.88,10406484.218,10737479691.15422,6781694
1655510400000,2022-06-18 00:00:00,ETH/USDT,1085.99,1097.00,878.04,994.09,11387513.195,11140422450.60394,7103302
1655424000000,2022-06-17 00:00:00,ETH/USDT,1067.77,1118.00,1050.00,1085.99,6582676.581,7160320740.43790,4572098
1655337600000,2022-06-16 00:00:00,ETH/USDT,1236.48,1257.29,1050.51,1067.77,8764835.417,9948262782.32809,6176649
