https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1627776000000,2021-08-01 00:00:00,LTC/USDT,144.38,149.78,137.95,140.25,2252435.970,328602827.87505,769510
1627689600000,2021-07-31 00:00:00,LTC/USDT,145.47,146.64,141.73,144.36,1533930.154,221168883.46953,640697
1627603200000,2021-07-30 00:00:00,LTC/USDT,141.39,145.92,135.87,145.49,2192109.816,307992928.50807,744357
1627516800000,2021-07-29 00:00:00,LTC/USDT,140.45,143.09,135.89,141.39,2360813.784,328424927.63624,721793
1627430400000,2021-07-28 00:00:00,LTC/USDT,134.68,142.00,132.35,140.48,2972809.286,407611188.80087,857678
1627344000000,2021-07-27 00:00:00,LTC/USDT,131.04,135.17,127.36,134.69,2295248.123,301256348.54817,758498
1627257600000,2021-07-26 00:00:00,LTC/USDT,127.60,140.43,126.78,131.05,3938120.902,534758609.39326,996132
1627171200000,2021-07-25 00:00:00,LTC/USDT,125.93,127.96,123.42,127.62,1385325.680,173694372.17445,610451
1627084800000,2021-07-24 00:00:00,LTC/USDT,124.18,127.68,123.22,125.93,1759996.915,221066605.46347,630795
1626998400000,2021-07-23 00:00:00,LTC/USDT,120.60,124.77,116.96,124.20,1692050.590,203284065.01022,627394
1626912000000,2021-07-22 00:00:00,LTC/USDT,117.70,121.95,115.48,120.59,1936659.152,229542526.99423,710251
1626825600000,2021-07-21 00:00:00,LTC/USDT,107.23,119.18,104.99,117.69,3085267.288,350540672.36142,969290
1626739200000,2021-07-20 00:00:00,LTC/USDT,113.08,115.00,103.72,107.23,3817587.437,410333207.01983,929571
1626652800000,2021-07-19 00:00:00,LTC/USDT,119.12,120.71,111.74,113.06,2426798.525,280628723.56081,837421
1626566400000,2021-07-18 00:00:00,LTC/USDT,119.91,124.00,116.02,119.10,1954900.153,234796744.93148,785655
1626480000000,2021-07-17 00:00:00,LTC/USDT,120.59,122.92,117.60,119.90,2104921.354,252876244.55675,821177
1626393600000,2021-07-16 00:00:00,LTC/USDT,125.80,127.77,120.30,120.58,1882209.686,233017592.07471,841834
1626307200000,2021-07-15 00:00:00,LTC/USDT,131.02,133.05,121.89,125.81,2036978.895,258018345.49370,826919
1626220800000,2021-07-14 00:00:00,LTC/USDT,131.34,132.41,123.50,131.02,2260231.165,289899092.33937,849489
1626134400000,2021-07-13 00:00:00,LTC/USDT,133.27,134.59,129.23,131.33,2139813.271,282658773.93422,827120
1626048000000,2021-07-12 00:00:00,LTC/USDT,134.19,139.71,131.77,133.27,2894554.446,394164657.09884,963291
1625961600000,2021-07-11 00:00:00,LTC/USDT,133.96,136.48,131.99,134.21,1522538.083,204604368.08787,763813
1625875200000,2021-07-10 00:00:00,LTC/USDT,134.47,136.76,130.20,133.94,1534124.236,203993604.74227,795923
1625788800000,2021-07-09 00:00:00,LTC/USDT,132.07,135.86,125.88,134.47,2273922.121,299034818.06178,928007
1625702400000,2021-07-08 00:00:00,LTC/USDT,137.33,137.69,127.71,132.07,2439413.382,322557175.14659,945426
1625616000000,2021-07-07 00:00:00,LTC/USDT,138.81,142.96,136.77,137.33,1827491.505,256368925.98066,813431
1625529600000,2021-07-06 00:00:00,LTC/USDT,137.67,142.67,135.51,138.81,2061681.867,285835411.04302,860817
1625443200000,2021-07-05 00:00:00,LTC/USDT,144.98,145.04,133.68,137.66,2171272.307,302017950.53924,809343
1625356800000,2021-07-04 00:00:00,LTC/USDT,140.12,148.11,136.81,144.97,1679126.663,241426532.75600,693548
1625270400000,2021-07-03 00:00:00,LTC/USDT,136.70,141.32,134.50,140.15,1417323.060,196394541.65219,768780
1625184000000,2021-07-02 00:00:00,LTC/USDT,136.95,138.90,130.51,136.70,2155479.285,287929084.48421,940749
1625097600000,2021-07-01 00:00:00,LTC/USDT,144.15,144.18,134.03,136.95,2428953.351,333657366.44337,947027
1625011200000,2021-06-30 00:00:00,LTC/USDT,144.24,146.94,136.01,144.18,2622351.356,370120057.23742,1017289
1624924800000,2021-06-29 00:00:00,LTC/USDT,137.65,149.15,137.24,144.20,3244093.307,466506431.87210,1104780
1624838400000,2021-06-28 00:00:00,LTC/USDT,132.49,139.50,129.84,137.65,2473755.632,331332861.29112,958404
1624752000000,2021-06-27 00:00:00,LTC/USDT,126.63,132.67,124.55,132.52,2364182.848,302368771.23974,925002
1624665600000,2021-06-26 00:00:00,LTC/USDT,124.87,129.35,118.52,126.65,3264465.174,402087102.56206,1088899
1624579200000,2021-06-25 00:00:00,LTC/USDT,134.49,138.47,124.16,124.91,3152379.149,411398257.49557,1122655
1624492800000,2021-06-24 00:00:00,LTC/USDT,129.02,137.35,123.63,134.49,2484304.224,327011954.07873,1011981
1624406400000,2021-06-23 00:00:00,LTC/USDT,119.61,133.62,115.32,129.00,3447102.887,439243464.00546,1140997
1624320000000,2021-06-22 00:00:00,LTC/USDT,124.35,132.98,104.83,119.57,6780149.758,800796350.44247,1645209
1624233600000,2021-06-21 00:00:00,LTC/USDT,154.87,155.44,123.92,124.34,4912481.007,672116262.47311,1543361
1624147200000,2021-06-20 00:00:00,LTC/USDT,152.44,156.09,143.59,154.87,2403737.803,361443229.18605,1141069
1624060800000,2021-06-19 00:00:00,LTC/USDT,156.21,160.87,152.24,152.43,1675545.636,262888459.97084,1034228
1623974400000,2021-06-18 00:00:00,LTC/USDT,167.06,167.29,151.16,156.21,2649827.905,424100804.40309,1228956
1623888000000,2021-06-17 00:00:00,LTC/USDT,166.47,173.37,162.78,167.07,2104649.736,354500248.81201,1141235
1623801600000,2021-06-16 00:00:00,LTC/USDT,175.13,177.30,164.35,166.50,2502744.475,426040673.61281,1183844
1623715200000,2021-06-15 00:00:00,LTC/USDT,179.75,181.22,172.15,175.13,2303056.498,406849681.99526,1183071
1623628800000,2021-06-14 00:00:00,LTC/USDT,170.81,179.96,166.36,179.81,2451456.056,422528851.66926,1204864
1623542400000,2021-06-13 00:00:00,LTC/USDT,161.76,171.58,156.39,170.83,2321381.776,377208158.31043,1180469
1623456000000,2021-06-12 00:00:00,LTC/USDT,162.80,164.28,154.09,161.75,2717811.668,432761006.39633,1245300
1623369600000,2021-06-11 00:00:00,LTC/USDT,168.08,173.72,160.42,162.79,3067441.369,515806735.37787,1277479
1623283200000,2021-06-10 00:00:00,LTC/USDT,172.48,174.56,161.96,168.08,3183426.072,536242834.71967,1089169
